ds,pi,ridx,label,n,n_tokens,kurt,ent_all,ent_focused
mmlu,19,12,silent,28,469,19.041179656982422,0.6727665066719055,0.15303996205329895
mmlu,19,13,silent,23,425,11.482719421386719,0.766437292098999,0.31714537739753723
mmlu,19,14,silent,15,363,5.34279727935791,0.6812728643417358,0.2927824556827545
mmlu,19,16,silent,18,401,9.06607437133789,0.6028460264205933,0.14930930733680725
mmlu,19,17,silent,28,524,18.8439884185791,0.7157770991325378,0.2314470112323761
mmlu,19,18,silent,24,434,15.04583740234375,0.688273012638092,0.2416156530380249
mmlu,19,19,silent,16,413,7.090681552886963,0.6816688776016235,0.14674773812294006
mmlu,19,2,silent,20,450,9.182790756225586,0.7626945972442627,0.3006298840045929
mmlu,19,3,silent,19,417,10.043977737426758,0.6709244847297668,0.29044821858406067
mmlu,19,4,verbalizing,24,475,15.052470207214355,0.602111279964447,0.12143521010875702
mmlu,19,6,silent,30,506,19.83747100830078,0.6896961331367493,0.27254703640937805
mmlu,19,7,silent,19,439,10.068860054016113,0.647518515586853,0.19246937334537506
mmlu,19,8,silent,30,755,21.036792755126953,0.7641058564186096,0.11937926709651947
mmlu,19,9,silent,22,429,13.032041549682617,0.6553634405136108,0.1930042803287506
mmlu,1,0,silent,23,481,9.259697914123535,0.8719046115875244,0.3088853359222412
mmlu,1,1,verbalizing,28,547,16.62529754638672,0.7843068242073059,0.22271689772605896
mmlu,1,10,silent,27,549,18.01730728149414,0.7328129410743713,0.2892835736274719
mmlu,1,11,verbalizing,22,523,12.947280883789062,0.7286950349807739,0.25662386417388916
mmlu,1,12,verbalizing,31,686,22.032264709472656,0.7566603422164917,0.23798751831054688
mmlu,1,13,verbalizing,24,533,15.050517082214355,0.8719823956489563,0.2296244353055954
mmlu,1,14,verbalizing,27,595,11.270195007324219,0.7317065000534058,0.2815231382846832
mmlu,1,15,silent,43,925,32.7293815612793,0.7250024676322937,0.19152194261550903
mmlu,1,16,verbalizing,21,445,12.058916091918945,0.6448449492454529,0.1424848884344101
mmlu,1,17,silent,23,431,14.053955078125,0.5626817345619202,0.07280203700065613
mmlu,1,18,silent,37,750,27.996362686157227,0.787662148475647,0.17454227805137634
mmlu,1,19,silent,14,363,5.111077785491943,0.6697191596031189,0.11127576977014542
mmlu,1,2,verbalizing,16,441,7.075198173522949,0.7892938256263733,0.2457762509584427
mmlu,1,3,silent,23,457,9.838544845581055,0.8499578237533569,0.23798517882823944
mmlu,1,4,verbalizing,27,634,12.194534301757812,0.713018536567688,0.2760198414325714
mmlu,1,5,silent,23,481,11.53996753692627,0.7144477963447571,0.25217992067337036
mmlu,1,6,silent,26,476,16.62668800354004,0.8260701298713684,0.20196294784545898
mmlu,1,7,verbalizing,26,614,14.910722732543945,0.8663464188575745,0.27240854501724243
mmlu,1,8,silent,27,549,18.04385757446289,0.6770715713500977,0.13029852509498596
mmlu,1,9,silent,29,516,15.126325607299805,0.8883669376373291,0.3167089819908142
mmlu,20,10,silent,37,927,27.484664916992188,0.7026507258415222,0.19240310788154602
mmlu,20,11,verbalizing,25,613,15.161447525024414,0.5875117182731628,0.19782757759094238
mmlu,20,12,verbalizing,40,1111,29.579015731811523,0.7355915307998657,0.25365665555000305
mmlu,20,13,verbalizing,50,1298,34.882911682128906,0.7153924107551575,0.19852092862129211
mmlu,20,14,silent,43,1122,31.62636947631836,0.7551802396774292,0.2203473150730133
mmlu,20,15,silent,47,1287,38.00290298461914,0.7943238615989685,0.1429731547832489
mmlu,20,17,verbalizing,37,1029,27.575963973999023,0.6607627272605896,0.24438448250293732
mmlu,20,18,silent,31,702,18.15176010131836,0.6982758641242981,0.1336730271577835
mmlu,20,2,verbalizing,33,892,18.589229583740234,0.624621570110321,0.23847708106040955
mmlu,20,3,verbalizing,34,918,23.94692611694336,0.6143975853919983,0.19324013590812683
mmlu,20,6,verbalizing,26,701,14.915786743164062,0.6160532236099243,0.2260703146457672
mmlu,20,9,silent,31,879,12.460042953491211,0.6201981902122498,0.215931698679924
mmlu,21,1,verbalizing,39,885,26.85173988342285,0.9208468198776245,0.2608542740345001
mmlu,21,10,silent,60,985,50.912357330322266,0.7233696579933167,0.15464548766613007
