ds,pi,gap,follow,nV,nS
gpqa,20149,0.5125,0.5625,11,7
gpqa,20150,0.0,0.0,0,0
gpqa,20151,0.03125,0.03125,1,0
gpqa,20152,0.2625,0.3125,10,0
gpqa,20153,0.15625,0.15625,4,1
gpqa,20154,0.0,0.0,0,0
gpqa,20155,0.0625,0.0625,2,0
gpqa,20156,0.0,0.0,0,0
gpqa,20157,0.25,0.25,7,1
gpqa,20158,0.24375,0.34375,7,4
gpqa,20159,0.06874999999999998,0.46875,14,1
gpqa,20160,0.0625,0.0625,2,0
gpqa,20161,0.0,0.0,0,0
gpqa,20162,0.16875,0.21875,5,2
gpqa,20163,-0.018750000000000003,0.03125,0,1
gpqa,20164,0.03125,0.03125,1,0
gpqa,20165,0.125,0.125,4,0
gpqa,20166,0.03125,0.03125,0,1
gpqa,20167,0.4,1.0,30,2
gpqa,20168,0.075,0.125,3,1
gpqa,20169,0.0,0.0,0,0
gpqa,20170,0.25,0.25,8,0
gpqa,20171,0.0,0.0,0,0
gpqa,20172,0.03125,0.03125,1,0
gpqa,20173,0.08124999999999999,0.28125,3,6
gpqa,20174,0.0,0.0,0,0
gpqa,20175,0.0,0.0,0,0
gpqa,20176,0.1875,0.1875,5,1
gpqa,20177,0.06875,0.21875,4,3
gpqa,20178,0.0,0.0,0,0
gpqa,20179,0.0,0.0,0,0
gpqa,20180,0.65,0.75,21,3
gpqa,20181,0.0,0.0,0,0
gpqa,20182,0.16249999999999998,0.5625,10,8
gpqa,20183,0.65625,0.65625,20,1
gpqa,20184,-0.05,0.0,0,0
gpqa,20185,1.0,1.0,25,7
gpqa,20186,-0.012500000000000011,0.4375,13,1
gpqa,20187,0.125,0.125,4,0
gpqa,20188,0.40625,0.40625,12,1
gpqa,20189,0.0,0.0,0,0
gpqa,20190,0.21875,0.21875,5,2
gpqa,20191,0.0,0.0,0,0
gpqa,20192,0.0,0.0,0,0
gpqa,20193,0.0,0.0,0,0
gpqa,20194,0.46875,0.46875,15,0
gpqa,20195,0.0,0.0,0,0
gpqa,20196,0.125,0.125,2,2
gpqa,20197,0.03125,0.03125,1,0
mmlu,10100,0.15625,0.15625,3,2
mmlu,10101,0.0,1.0,13,19
mmlu,10102,0.0,0.0,0,0
mmlu,10103,0.0,0.0,0,0
mmlu,10104,0.0,0.0,0,0
mmlu,10105,0.0,0.0,0,0
mmlu,10106,0.03125,0.03125,1,0
mmlu,10107,0.0,0.0,0,0
mmlu,10108,0.0,0.0,0,0
mmlu,10109,0.75,0.75,24,0
mmlu,10110,0.0,0.0,0,0
mmlu,10111,0.4,0.5,7,9
mmlu,10112,0.0,0.0,0,0
mmlu,10113,0.0,0.0,0,0
mmlu,10114,0.5,0.5,12,4
mmlu,10115,-0.07500000000000001,0.125,2,2
mmlu,10116,0.0,0.0,0,0
mmlu,10117,0.6,1.0,23,9
mmlu,10118,0.0,0.0,0,0
mmlu,10119,0.125,0.125,4,0
mmlu,10120,0.0,0.0,0,0
mmlu,10121,0.64375,0.84375,24,3
mmlu,10122,0.0,0.0,0,0
mmlu,10123,0.0,0.0,0,0
mmlu,10124,0.0,0.0,0,0
mmlu,10125,0.0,0.0,0,0
mmlu,10126,0.0,0.0,0,0
mmlu,10127,0.3875,0.4375,14,0
mmlu,10128,0.0,0.0,0,0
mmlu,10129,0.0,0.0,0,0
mmlu,10130,0.49375,0.59375,19,0
mmlu,10131,-0.018750000000000044,0.78125,11,14
mmlu,10132,0.0,0.0,0,0
mmlu,10133,0.09375,0.09375,3,0
mmlu,10134,0.125,0.125,4,0
mmlu,10135,0.0,0.0,0,0
mmlu,10136,0.0,0.0,0,0
mmlu,10137,0.0,0.0,0,0
mmlu,10138,0.03125,0.03125,0,1
mmlu,10139,0.0,0.0,0,0
mmlu,10140,0.0,0.0,0,0
mmlu,10141,0.0,0.0,0,0
mmlu,10142,0.35624999999999996,0.90625,1,28
mmlu,10143,0.0,0.0,0,0
mmlu,10144,0.0,0.0,0,0
mmlu,10145,0.0,0.0,0,0
mmlu,10146,0.0,0.0,0,0
mmlu,10147,0.0,0.0,0,0
mmlu,10148,0.0,0.0,0,0
mmlu,10149,0.0,0.0,0,0
mmlu,10150,0.0,0.0,0,0
